ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
2,Chennai,Chennai Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Albot R.,64,97,754,614,6,2,6,1,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Kravchuk K.,47,85,960,660,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Ramanathan R.,474,227,83,231,6,1,6,1,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Dutra Silva R.,Lajovic D.,440,93,92,627,7,6,4,6,7,6,,,,,2,1,Completed
2,Chennai,Chennai Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Youzhny M.,Myneni S.,57,192,826,287,6,4,6,3,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Lu Y.H.,99,64,611,754,6,4,6,3,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Darcis S.,27,86,1435,658,6,2,6,0,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Kovalik J.,Cilic M.,117,6,501,3650,7,6,5,7,7,5,,,,,2,1,Completed
2,Chennai,Chennai Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Chung H.,96,104,616,571,6,2,6,2,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/5/17,ATP250,Outdoor,Hard,2nd Round,3,Youzhny M.,Olivo R.,57,83,826,670,6,1,7,5,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/5/17,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Dutra Silva R.,14,440,2350,92,6,3,6,2,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/5/17,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Bhambri Y.,47,474,960,83,6,3,6,4,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/5/17,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Klizan M.,101,35,592,1230,7,6,6,7,7,6,,,,,2,1,Completed
2,Chennai,Chennai Open,1/6/17,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Kovalik J.,99,117,611,501,6,1,6,4,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/6/17,ATP250,Outdoor,Hard,Quarterfinals,3,Sela D.,Ramos-Vinolas A.,96,27,616,1435,7,5,6,4,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/6/17,ATP250,Outdoor,Hard,Quarterfinals,3,Paire B.,Bedene A.,47,101,960,592,6,3,6,0,,,,,,,2,0,Completed
2,Chennai,Chennai Open,1/6/17,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Youzhny M.,14,57,2350,826,2,6,6,4,6,4,,,,,2,1,Completed
2,Chennai,Chennai Open,1/7/17,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Sela D.,99,96,611,616,4,6,7,6,6,2,,,,,2,1,Completed
2,Chennai,Chennai Open,1/7/17,ATP250,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Paire B.,14,47,2350,960,6,3,6,3,,,,,,,2,0,Completed
